ID,Title,Genre,Year,Director,Actor1,Actor2,Actor3,,,,
223,Clerks,Comedy&Drama,1994,Kevin Smith,Brian O'Halloran,Jeff Anderson,Marilyn Ghigliotti,,,,
224,Don Juan DeMarco,Comedy&Drama&Romance,1995,Marco Brambilla,Johnny Depp,Alice Cooper,Laraine Newman[,,,,
225,Disclosure,Drama&Thriller,1994,Barbet Schroeder,Michael Douglas,Donna Murphy,Sean Astin[,,,,
226,Dream Man,Drama&Romance,1995,Jim Sharman,Eric Roberts,Jennifer Connelly,Billy Drago[,,,,
227,Drop Zone,Action&Adventure&Thriller,1994,John Badham,Devon Sawa,Alice Eve,Casper Van Dien[,,,,
228,Destiny Turns on the Radio,Drama&Music&Romance,1995,John Seale,Sophie Ward,Jonathan Jackson,Jessica Tuck[,,,,
229,Death and the Maiden,Drama&Mystery&Thriller,1994,Roman Polanski,Gérard Depardieu, Sigourney Weaver,Ben Kingsley[,,,,
230,Dolores Claiborne,Drama&Mystery&Thriller,1994,Taylor Hackford,Jessica Lange,Kathy Bates,Jason Robards[,,,,
231,Dumb & Dumber,Comedy&Adventure,1994,Peter Farrelly,Jim Carrey,Jeff Daniels,Lauren Holly,,,,
232,Eat Drink Man Woman,Drama&Romance,1994,Ang Lee,Sihung Liao,Kuei Yu-Chi,Chen Chang[,,,,
233,Exotica,Drama&Mystery&Romance,1994,Atom Egoyan,Arsinee Khanjian,Ian Holm,Sandra Oh[,,,,
234,Exit to Eden,Drama&Romance,1994,Garth Maxwell,Rosie O'Donnell,Dan Aykroyd,Dana Delany[,,,,
235,Ed Wood,Biography&Comedy&Drama,1994,Tim Burton,Johnny Depp,Martin Landau,Sarah Jessica Parker[,,,,
236,French Kiss,Comedy&Romance,1995,Lawrence Kasdan,Meg Ryan,Kevin Kline,Timothy Hutton[,,,,
237,Forget Paris,Comedy&Romance,1995,Billy Crystal,Debra Winger,Cher,Greg Kinnear[,,,,
238,Far From Home: The Adventures of Yellow Dog,Adventure&Family&Comedy,1995,Phil Nibbelink,Tom Hanks,Tim Allen,Joan Cusack[,,,,
239,A Goofy Movie,Animation&Adventure&Comedy&Family,1995,Kevin Lima,Jason Marsden,Alyson Stoner,Brad Garrett[,,,,
240,Hideaway,Drama&Romance,1995,François Giordano,Aidan Quinn,Sarah Jessica Parker,Natascha McElhone[,,,,
241,Fluke,Comedy&Drama,1995,Rod Daniel,Matt LeBlanc,Steve Guttenberg,Paul Reiser[,,,,
242,Farinelli: il castrato,Biography&Drama&History,1994,Carlo Mazzacurati,Stefano Dionisi,Elisabetta Pozzi,Roberto Herlitzka[,,,,
243,Gordy,Drama,1995,Brian Henson,Whoopi Goldberg,Mare Winningham,Will Ferrell[,,,,
244,Gumby: The Movie,Animation&Adventure&Comedy&Family,1995,David Burrows,"voices of Don Messick, Danica Kimble, and Jeff Bergman",null,null,,,,
245,The Glass Shield,Crime&Drama,1994,Leonard Baker,Michael Rooker,Lance Henriksen,Judy Davis[,,,,
246,Hoop Dreams,Documentary&Drama,1994,Steve James, null , null , null[,,,,
247,Heavenly Creatures,Drama&History&Romance,1994,Peter Jackson,Kate Winslet,Billy Kay,Ian Holm[,,,,
248,Houseguest,Comedy&Drama,1994,Greg Antonacci,Parker Stephenson,Bill Pullman,Bridget Fonda[,,,,
249,Immortal Beloved,Biography&Drama&History&Romance,1994,Brian Percival,Gary Oldman,Isabella Rossellini,Jeroen Krabbé[,,,,
250,Heavyweights,Comedy&Family,1994,Ben Stiller,Jonathan Silverman,Jennifer Love Hewitt,Bill Cobbs[,,,,
251,"Hunted, The",Action&Adventure&Drama,1995,Jim Goddard,Jeff Goldblum,Ian McKellen,Linda Hamilton[,,,,
252,I.Q.,Comedy&Drama&Romance,1994,Frank Oz,Meg Ryan,Tim Robbins,Lou Jacobi[,,,,
253,Interview with the Vampire,Drama&Fantasy&Horror&Romance,1994,Neil Jordan,Tom Cruise,Brad Pitt,Kirsten Dunst,Antonio Banderas[,,,
254,Jefferson in Paris,Biography&Drama&History&Romance,1995,James Ivory,Nick Nolte,Gwyneth Paltrow,Thomas Arnold[,,,,
255,"Jerky Boys, The",Comedy,1994,Bruce Reid,John Blanchard,Bill Smitrovich,"Vincent D""Onofrio[",,,,
256,Junior,Comedy&Drama&Romance,1994,Ivan Reitman,Arnold Schwarzenegger,Danny DeVito,Emma Thompson[,,,,
257,Just Cause,Action&Adventure&Drama,1995,John Badham,Sean Connery,Lorraine Bracco,Bruno Kirby[,,,,
258,"A Kid in King Arthur""s Court",Adventure&Family&Fantasy,1995,Phillip Borsos,Luke Edwards,Art Malik,Joss Ackland[,,,,
259,Kiss of Death,Crime&Drama&Romance,1995,Barry Levinson,David Caruso,Nicolas Cage,Samuel L. Jackson[,,,,
260,Star Wars: Episode IV - A New Hope,Science Fiction&Adventure&Fantasy&Action,1977,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher[,,,,
261,Little Women,Drama&Family&Romance,1994,Gillian Armstrong,Winona Ryder,Susan Sarandon,K Claire Trevor[,,,,
262,"Little Princess, A",Drama&Family,1995,Mark Herman,Eddie Izzard,Vanessa Redgrave,Jason Scott Lee[,,,,
263,Ladybird Ladybird,Drama&Romance,1994,Ken Loach,Mackenzie Crook,Anna Maxwell Martin,David Thewlis[,,,,
264,"Enfer, L",Drama&Mystery&Thriller,1994,Dominik Moll,Benoît Magimel,Sandrine Bonnaire,Lucas Belvaux[,,,,
265,Like Water for Chocolate (Como agua para chocolate),Drama&Romance&Fantasy&International,1992,Alfonso Arau,Romola Garai,Vanessa Bauche,Juan Carlos Remulda[,,,,
266,Legends of the Fall,Drama&Romance&War,1994,Edward Zwick,Brad Pitt, Anthony Hopkins,Julia Ormond,,,,
267,Major Payne,Comedy&Drama,1994,Nick Castle,Damon Wayans,Galen Kane,Noah Wyle[,,,,
268,Little Odessa,Drama,1994,James Gray,Tim Roth,Ethan Hawke,Halle Berry,,,,
269,My Crazy Life (Mi vida loca),Comedy&Drama&Romance,1993,Allison Anders,Jennifer Lopez,Leticia Rodriguez,John S. Davila[,,,,
270,Love Affair,Drama&Romance,1994,Gillian Armstrong,Warren Beatty,Annette Bening,Katharine Hepburn[,,,,
271,Losing Isaiah,Drama&Romance,1995,Stephen Gyllenhaal,Harrison Ford,Jaye Davidson,Juliette Lewis[,,,,
272,The Madness of King George,Biography&Drama&History,1994,Nicholas Hytner,Nigel Hawthorne,Helen Mirren,Ian Holm[,,,,
273,Mary Shelley's Frankenstein,Horror&Drama&Romance,1994,Kenneth Branagh,Robert De Niro,Helena Bonham Carter,Ian Holm[,,,,
274,Man of the House,Comedy&Family,1995,Stephen Herek,Tom Arnold,Bill Cobbs,Cuba Gooding Jr.[,,,,
275,Mixed Nuts,Comedy&Drama&Romance,1994,Howard Deutch,Steve Martin,Madonna,Adam Sandler[,,,,
276,Milk Money,Comedy&Drama,1994, Richard Bennett,Adam Arkin,Elisabeth Shue,S. Epatha Merkerson[,,,,
277,Miracle on 34th Street,Drama&Family&Romance,1994,Leonard Nimoy,Richard Attenborough,Elizabeth Perkins,Dylan McDermott[,,,,
278,Miami Rhapsody,Drama&Music&Romance,1995,David Frankel,Antonio Banderas,Maria Conchita Alonso,Sarah Jessica Parker[,,,,
279,My Family,Comedy&Drama&Family,1995,Greg Glienna,Bobby Collins,Joanna Lumley,Gary Oldman[,,,,
280,Murder in the First,Crime&Drama,1995,Hart Bochner,Christian Slater,Gary Oldman,Kevin Bacon[,,,,
281,Nobody's Fool,Comedy&Drama,1994,Robert Benton,Paul Newman,Susan Sarandon,Bruce Willis[,,,,
282,Nell,Drama&Romance,1994,Michael Apted,Jodie Foster,Liam Averill,Nell Campbell[,,,,
283,New Jersey Drive,Action&Comedy&Drama,1995,Danny A. Abeckaser,Jason Connery,Lark Voorhies,Bill Cobbs[,,,,
284,New York Cop,Action&Comedy&Crime,1996,James Cappe,Danny Aiello,Jon Cryer,Annabella Sciorra[,,,,
285,Beyond Bedlam,Drama&Horror,1993,Larry Cohen,Michael Rapaport,Kim Greist,Robert Loggia[,,,,
286,Nemesis 2: Nebula,Science Fiction&Action&Adventure,1995,Alex Hacke,Natasha Henstridge,Jean-Claude Van Damme,Mario Van Peebles,,,,
287,Nina Takes a Lover,Drama&Romance,1994,Jamie Babbit,Gayle Rankin,Dagmara Dominczyk,Alicia Witt[,,,,
288,Natural Born Killers,Crime&Drama&Thriller,1994,Oliver Stone,Juliette Lewis,Robert Downey Jr,Woody Harrelson[,,,,
289,Only You,Drama&Romance,1994, Norman Jewison,Harrison Ford,Kathleen Turner,Elizabeth McGovern[,,,,
290,Once Were Warriors,Drama&Thriller,1994,Lee Tamahori,Temuera Morrison,Nacoya Hodgkinsen,Vicky Haughton[,,,,
291,Poison Ivy II,Drama&Romance,1995,Jamie Babbit,Drew Barrymore,Sara Gilbert,Cheryl Ladd[,,,,
292,Outbreak,Action&Drama&Thriller,1995,Petersen,Dustin Hoffman,Rene Russo,Cuba Gooding Jr.[,,,,
293,The Professional,Action&Drama&Thriller,1994,Luc Besson,Jean Reno,Natalie Portman,Gary Oldman[,,,,
294,The Perez Family,Comedy&Drama&Family,1995,Rick Francis,Erik Estrada,Jennifer Guthrie,Jason Beghe[,,,,
295,A Pyromaniac's Love Story,Comedy&Romance,1995,null,null,null,,,,,
296,Pulp Fiction,Crime&Drama&Thriller,1994,Quentin Tarantino,John Travolta,Samuel L. Jackson,Uma Thurman[,,,,
297,Panther,Action&Adventure&Crime,1995,Mario Van Peebles,"Dwayne ""The Rock"" Johnson",Jon Voight,Angela Bassett[,,,,
298,Pushing Hands,Drama&Romance,1992,Woody Harrelson,Ming-Wa Woo,Ellen Barkin,Young Artist Award for Best Leading Young Actor[,,,,
299,Priest,Horror&Drama,1994,Antonia Bird,Linus Roache,Gregory Peck,Tom Wilkinson[,,,,
300,Quiz Show,Drama&History&Mystery,1994,Robert Redford,John Turturro,Sam Rockwell,Gaby Hoffmann[,,,,
301,Picture Bride,Drama&Romance,1995,Kayo Hata,Sab Shimono,Cynthia Erivo,Kevin Ishioka[,,,,
302,Queen Margot (La Reine Margot),Drama&History,1994,Patrice Chéreau,Isabelle Adjani,Vincent Cassel,John Malkovich[,,,,
303,The Quick and the Dead,Action&Adventure&Drama&Western,1995,Sam Raimi,Sharon Stone,Gene Hackman,Russell Crowe,,,,
304,Roommates,Comedy,1995,Peter Yates,Robin Williams,Matt Lawrence,Traylor Howard[,,,,
305,Ready to Wear (Pret-A-Porter),Comedy&Drama&Romance,1994,Robert Altman,Tim Robbins,Geneviève Bujold,Liza Minnelli[,,,,
306,Three Colors: Red,Drama&Romance&Mystery,1994,Krzysztof Kieślowski,Irène Jacob,Jean-Louis Trintignant,Jules Fisher[,,,,
307,Three Colors: Blue,Drama&Romance&Tragedy,1993,Krzysztof Kieślowski,Juliette Binoche,Benjamin Biolay,Laurent Grévill[,,,,
308,Three Colors: White,Drama&Romance&Tragedy,1994,Krzysztof Kieślowski,Juliette Binoche,Benjamin Biolay,Emmanuelle Riva[,,,,
309,"Red Firecracker, Green Firecracker",Drama&Romance,1994,Lina Wertmüller,null,null,null[,,,,
310,Rent-a-Kid,Comedy,1995,Lewis Black,Kevin Cline,Alex D. linz,Jane Leeves,,,,
311,Relative Fear,Horror&Thriller,1994,Jim Sharman,Linda Hamilton,Richard Thomas,Aidan Gillen[,,,,
312,Stuart Saves His Family,Comedy&Drama,1995,Hugh Wilson,Albert Brooks,Andie MacDowell,John Getz[,,,,
313,The Swan Princess,Animation&Adventure&Family&Fantasy,1994,Richard Rich,Michelle Nicastro,Howard McGillin,Jack Palance[,,,,
314,"Secret of Roan Inish, The",Adventure&Drama&Family,1994,John Sayles,Jeni Courtney,Jim Broadbent,Rachel Ward[,,,,
315,"Specialist, The",Action&Adventure&Drama,1994,Luis Llosa,Nicolas Cage,Sophia Ali,Angelina Jolie[,,,,
316,Stargate,Action&Adventure&Science Fiction,1994,Roland Emmerich,James Spader,Kurt Russell,Jaye Davidson[,,,,
317,The Santa Clause,Comedy&Family&Fantasy,1994,Jeffrey Kurland,Tim Allen,Wendy Crewson,David Krumholtz[,,,,
318,The Shawshank Redemption,Drama&Crime,1994,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton[,,,,
319,Shallow Grave,Crime&Drama&Black Comedy,1994,Danny Boyle,Ewan McGregor,Christopher Eccleston,Kerry Fox[,,,,
320,Suture,Drama&Mystery&Thriller,1993,Tony Kaye,Michael Harris,Bill Pullman,Aidan Quinn[,,,,
321,Strawberry and Chocolate (Fresa y chocolate),Comedy&Drama,1993,Alexander Hacke,Jorge Perugorría,Victor Hugo Pruna,Lumi Cavazos[,,,,
322,Swimming with Sharks,Drama&Horror&Thriller,1995,Kevin Spacey,Frank Whaley,Michelle Forbes,Neil LaBute[,,,,
324,The Sum of Us,Drama&Romance,1994,Kruger Cowan,Russell Crowe,John Polson,Saskia Burmeister[,,,,
325,"National Lampoon""s Senior Trip",Comedy,1995,Lawrence Guterman,Bryan Cranston,Roger Bart,Jennifer Coolidge,,,,
326,To Live (Huozhe),Drama&History,1994,Zhang Yimou,Yu Zhang,Sun Honglei,Zhang Fengyi[,,,,
327,Tank Girl,Action&Adventure&Comedy&Science Fiction,1995,Roger Avary,Lori Petty,Jeff Kober,Malcolm McDowell[,,,,
328,Tales From the Crypt Presents: Demon Knight,Horror&Supernatural&Adventure&Fantasy,1995,William Malone,Brent LeVier,William Sadler,Craig Sheffe,,,,
329,Star Trek: Generations,Science Fiction&Adventure&Drama,1994,Nicholas Meyer,Patrick Stewart,Malcolm McDowell,Jonathan Frakes[,,,,
330,Tales from the Hood,Horror&Drama&Thriller,1995,Rusty Cundieff,Anthony Griffith,Jamie Foxx,Bobby Brown[,,,,
331,Tom & Viv,Biography&Drama&Romance,1994,Brian Gilbert,Willem Dafoe,Miranda Richardson,Rupert Graves[,,,,
332,Village of the Damned,Horror&Mystery&Thriller,1995,John Carpenter,Christopher Reeve,Kirstie Alley,Jason London,,,,
333,Tommy Boy,Comedy,1995,Peter Segal,Chris Farley,David Spade,"Beverly D""Angelo[",,,,
334,Vanya on 42nd Street,Drama&Comedy,1994,Lynn Meadow,Geoffrey Rush,Samantha Bond,Brooke Smith[,,,,
335,"Underneath, The",Drama&Thriller,1995,Michael Katleman,Stephen Baldwin,Nicole Kidman,Bengal,,,,
336,The Walking Dead,Horror&Drama&Thriller,1995,Frank Darabont,Shawn Hatosy,Jonathan Jackson,Laurie Holden[,,,,
337,What's Eating Gilbert Grape,Drama&Romance,1993,Lasse Hallström,Johnny Depp,Juliette Lewis,Leonardo DiCaprio[,,,,
338,Virtuosity,Action&Crime&Drama,1995,Brett Leonard,Denzel Washington,Russell Crowe,Kimberly Scott[,,,,
339,While You Were Sleeping,Romance&Comedy&Drama,1995,Jon Turteltaub,Sandra Bullock,Bill Pullman,Peter Gallagher[,,,,
340,"War, The",Drama&History&Romance,1994,Edward Zwick,Brad Pitt,Julia Ormond,Jason Isaacs[,,,,
341,Double Happiness,Comedy&Drama&Romance,1994,H. Gordon Boyer,Kimberly Williams-Paisley,Hume Cronyn,Linda Kash[,,,,
342,Muriel's Wedding,Comedy&Drama&Musical,1994,P.J. Hogan,Toni Collette,Rachel Griffiths,Judy Davis[,,,,
343,The Baby-Sitters Club,Comedy&Drama&Family,1995,Roger Christian,Rachael Leigh Cook,Schuyler Fisk,Jared Rushton[,,,,
344,Ace Ventura: Pet Detective,Comedy&Crime&Family,1994,Tom Shadyac,Jim Carrey,Courteney Cox,Sean Young,,,,
345,"Adventures of Priscilla, Queen of the Desert, The",Comedy&Drama&Musical,1994,Stephan Elliott, Геicolг Manning,Hugo Weaving,Guy Pearce[,,,,
346,Backbeat,Drama&Musical&Romance,1993,Iain Softley,Stephen Dorff,Pierce Brosnan,Saffron Burrows[,,,,
347,Bitter Moon,Drama&Mystery&Romance,1992,Peter Weir,Hugh Grant,Sarah Jessica Parker,Kristin Scott Thomas[,,,,
348,Bullets Over Broadway,Comedy&Crime&Musical,1994,Woody Allen,John Cusack,Jennifer Tilly,Chazz Palminteri[,,,,
349,Clear and Present Danger,Action&Drama&Thriller,1994,Phillip Noyce,Harrison Ford,Willem Dafoe,Anne Archer[,,,,
350,The Client,Drama&Thriller,1994,Joel Schumacher,Susan Sarandon,Brad Renfro,Irène Jacob[,,,,
351,"Corrina, Corrina",Drama&Family,1994,Jay Russell,Whoopi Goldberg,Ray Liotta,Tina Majorino[,,,,
352,Crooklyn,Drama&Crime,1994,Spike Lee,Zelda Harris,Alfre Woodard,Delroy Lindo,,,,
353,"Crow, The",Horror&Drama,1994,Leonard Schrader,Brandon Lee,Ernie Hudson,Robert Olguin[,,,,
354,Cobb,Drama&Mystery&Thriller,1994,Andrew Davis,Tommy Lee Jones,Sissy Spacek,Samuel L. Jackson[,,,,
355,"Flintstones, The",Animation&Comedy&Family&Musical,1994,Ron Howard,John Goodman,Rick Moranis,Rosie O'Donnell[,,,,
356,Forrest Gump,Drama&Romance&War,1994,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise[,,,,
357,Four Weddings and a Funeral,Comedy&Drama&Romance,1994,Mike Newell,Hugh Grant,Andie MacDowell,Kristin Scott Thomas,,,,
358,Higher Learning,Drama&Romance,1995,John Singleton,Ice Cube,Tyra Banks,Cuba Gooding Jr.[,,,,
359,I Like It Like That,Comedy&Drama&Romance,1994,Lewis John Carlino,Lauren Bacall,Burt Reynolds,Goldie Hawn[,,,,
360,I Love Trouble,Comedy&Romance,1994,Charles Shyer,Nicollette Sheridan,Arnold Schwarzenegger,Linda Hamilton[,,,,
361,It Could Happen to You,Comedy&Drama&Romance,1994,Andy Borowitz,Nicolas Cage,Sophia Loren,Holly Hunter[,,,,
362,The Jungle Book,Animation&Adventure&Family,1994,Stephen Sommers,Jason Scott Lee,Linda Pavonetti,Brennan Gadem[,,,,
363,"The Wonderful, Horrible Life of Leni Riefenstahl",Drama&History&Biography,1993,Leni Riefenstahl,Null,Null,Null,,,,
364,"Lion King, The",Animation&Adventure&Drama&Family,1994,Roger Allers&Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones[,,,,
365,Little Buddha,Drama&History&Biography,1993,Bernardo Bertolucci,Kevin Pollak,Jason Scott Lee,Liv Tyler[,,,,
366,"Wes Craven""s New Nightmare",Horror&Thriller,1994,Wes Craven,Heather Langenkamp,Robert Englund,Miko Hughes[,,,,
367,The Mask,Comedy&Fantasy,1994,Chuck Russell,Jim Carrey,Cameron Diaz,Peter Greene[,,,,
368,Maverick,Action&Adventure&Comedy,1994,Rupert Wainwright,Mel Gibson,Jodie Foster,Antonia Brierley[,,,,
369,Mrs. Parker and the Vicious Circle,Biography&Drama,1994,Alfred Naked Ladies,Campbell Scott,Jennifer Jason Leigh,Judy Davis[,,,,
370,Naked Gun 33 1/3: The Final Insult,Comedy&Parody&Action&Crime,1994,Jim Abrahams,Leslie Nielsen,O.J. Simpson,Priscilla Presley,,,,
371,The Paper,Drama&Romance,1994,Ron Howard,Michael Keaton,Marisa Tomei,Randy Quaid[,,,,
372,Reality Bites,Comedy&Drama&Romance,1994,Ben Stiller,Winona Ryder,Ethan Hawke,Stella Stanhagen,,,,
373,Red Rock West,Thriller&Crime&Drama,1992,John Dahl,Nicolas Cage,Jared Harris,Lara Flynn Boyle[,,,,
374,Richie Rich,Comedy&Family,1994,Donald Petrie,Macaulay Culkin,John Larroquette,Jonathan Hyde[,,,,
375,Safe Passage,Adventure&Family,1994,Rod Daniel,Brad Renfro,Anthony Edwards,J.E. Freeman[,,,,
376,The River Wild,Adventure&Drama&Thriller,1994,Mark Rydell,Meryl Streep,Kevin Bacon,David Strathairn[,,,,
377,Speed,Action&Thriller,1994,Jan de Bont,Keanu Reeves,Sandra Bullock,Dennis Hopper,,,,
378,Speechless,Drama&Romance,1994,Ron Underwood,Mickey Rooney,Kathy Bates,Daryl Hannah[,,,,
379,Timecop,Science Fiction&Action&Adventure,1994,Peter Hyams,Jean-Claude Van Damme,Mia Sara,Bill Pope[,,,,
380,True Lies,Action&Comedy&Romance&Spies,1994,James Cameron,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold[,,,,
381,When a Man Loves a Woman,Drama&Romance,1994,Luis Mandoki,Meg Ryan,Andy Garcia,Eli Wallach[,,,,
382,Wolf,Drama&Fantasy&Romance,1994,Mike Nichols,Jack Nicholson,Meryl Streep,James Spader[,,,,
383,Wyatt Earp,Biography&Drama&History&Romance,1994,Lawrence Kasdan,Kevin Costner,Diane Lane,Gene Hackman[,,,,
384,Bad Company,Action&Adventure&Comedy,1995,Joel Schumacher,Christian Slater,Anne Heche,Everett McGill[,,,,
385,A Man of No Importance,Drama&Musical&Romance,1994,Lynn Roth,Albert Finney,Brenda Fricker,Michael Apted[,,,,
386,S.F.W.,Comedy&Drama,1994,Jonathan Betuel,Stephen Dorff,Reese Witherspoon,Jennifer Love Hewitt[,,,,
387,A Low Down Dirty Shame,Action&Comedy,1994,Petru Popescu,Kevin Costner,William Hurt,Rosanna Arquette[,,,,
388,Boys Life,Drama&Family,1995,Peter Chelsom,Jonathan Jackson,Skeet Ulrich,Josh Lucas[,,,,
389,"Colonel Chabert, Le",Drama&History,1994,Yves Angelo,Gérard Depardieu,Catherine Frot,Laurent Grévill[,,,,
390,Faster Pussycat! Kill! Kill!,Exploitation&Horror,1965,Russ Meyer,Tura Satana,Haji,Lori Williams[,,,,
391,Jason's Lyric,Drama&Romance,1994,Greg Beauchamp,Allen Payne,Jada Pinkett Smith,Forest Whitaker[,,,,
392,"Secret Adventures of Tom Thumb, The",Adventure&Family,1993,Pirmin Zurbriggen,Jonathan Hyde,Rolf Herricht,Jessica Tovey[,,,,
393,Street Fighter,Action&Adventure&Fantasy&Martial Arts,1994,Paul W.S. Anderson,Jean-Claude Van Damme,Kylie Minogue,Raul Julia[,,,,
394,Coldblooded,Action&Crime&Thriller,1995,Wallace W. Linehan,Jeff Bridges,John Hurt,Nancy Travis[,,,,
395,Desert Winds,Drama&Romance,1995,Michael Schroeder,Susan Sarandon,Sam Shepard,Judge Reinhold[,,,,
396,Fall Time,Drama&Romance,1995,null,null,null,,,,,
397,"Fear, The",Horror&Psychological&Thriller,1995,James Foley,Mark Wahlberg,Reese Witherspoon,William Petersen[,,,,
398,Frank and Ollie,Animation&Comedy&Drama,1995,Norman Fell,Jon Lovitz,Danny Mann,Jim Cummings[,,,,
399,Girl in the Cadillac,Drama&Mystery&Thriller,1995,Stephen Gyllenhaal,Kim Basinger,Josh Brolin,Alessandro Nivola[,,,,
400,Homage,Drama&Thriller,1995,Peter Weir,Anthony Hopkins,Jodie Foster,Aitana Sánchez-Gijón[,,,,
401,Mirage,Adventure&Drama&Romance,1995,Barry Levinson,Steven Seagal,Kelly Preston,Pam Grier[,,,,
402,Open Season,Animation&Adventure&Comedy&Family,1996, Roger Allers,Martin Lawrence,Ashton Kutcher,Debra Messing[,,,,
403,Two Crimes,Crime&Drama,1995,Michael Apted,John Travolta,Samuel L. Jackson,Madeleine Stowe[,,,,
404,Brother Minister: The Assassination of Malcolm X,Biography&Crime&Drama,1994,Spike Lee,Denzel Washington,Angela Bassett,Alfre Woodard[,,,,
405,Highlander III: The Sorcerer,Action&Adventure&Fantasy,1994,Andy Morahan,Christopher Lambert,Sean Connery,Michael Ironside[,,,,
406,Federal Hill,Crime&Drama,1994,Michael Apted,Nicolas Cage,Diane Lane,Armand Assante[,,,,
407,In the Mouth of Madness,Horror&Mystery&Thriller,1995,John Carpenter,Jürgen Prochnow,Sam Neill,Ian McKellen[,,,,
408,8 Seconds,Drama&Sport,1994,John G. Avildsen,Luke Perry,Stephen Baldwin,Campbell Scott[,,,,
409,Above the Rim,Drama&Sport,1994,Jeff Pollack,Tupac Shakur,Ice Cube,Bernie Mac[,,,,
410,Addams Family Values,Comedy&Family&Fantasy&Horror,1993,Rochelle Rochell,Raul Julia,Anjelica Huston,Christina Ricci[,,,,
411,You So Crazy,Comedy,1994,Frank Coraci,Damon Wayans,David Alan Grier,Renée Victor[,,,,
412,The Age of Innocence,Drama&Romance,1993,Martin Scorsese,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder[,,,,
413,Airheads,Comedy&Musical&Adventure,1994,Michael Lehmann,Brendan Fraser,Steve Buscemi,Adam Sandler[,,,,
414,The Air Up There,Adventure&Family&Sport,1994,Paul Michael Glaser,Kevin Bacon,Charles Malik Whitfield,Bill Cobbs[,,,,
415,Another Stakeout,Action&Comedy&Romance,1993,John Badham,Richard Dreyfuss,Emilio Estevez,Madeleine Stowe[,,,,
416,Bad Girls,Crime&Drama&Romance,1994,Jonathan Kaplan,Mae Whitman,Drew Barrymore,Sara Gilbert[,,,,
417,Barcelona,Drama&Romance,1994,Woody Allen,Javier Bardem,Penelope Cruz,Scott Hamilton[,,,,
418,Being Human,Drama&Fantasy&Horror,1993,Jennifer Levin,Kyle MacLachlan,Campbell Scott,Adrienne Barbeau[,,,,
419,"Beverly Hillbillies, The",Comedy&Family,1993,Roger Duchowny,Dudley Do-Right,Jim Varney,Erika Eleniak[,,,,
420,Beverly Hills Cop III,Action&Comedy&Crime,1994,John Landis,Eddie Murphy,Judge Reinhold,Holly Robinson Peete[,,,,
421,Black Beauty,Drama&Family,1994,Carol Ballard,Alan Cumming,Sophie Ward,Patrick Stewart[,,,,
